"Mean_of_each_measurement" "Standard_deviation_of_each_measurement"
-0.000130622702512535 0.14656423126356
-0.000227486964971816 0.146451917271038
-4.25150323915075e-05 0.146581655458901
0.000335132375709641 0.146120771636265
0.000689099841063194 0.146393461059784
0.00102747990145501 0.146882663073673
0.00102353259104192 0.146075744940658
0.000687924972534825 0.145688283935209
0.000601090900917267 0.145820596483727
0.000488548575927571 0.147409437417099
0.000575830561364756 0.147964703997037
0.00114572920872745 0.147998357076522
0.00138793221901008 0.148570329625389
0.00105220544026951 0.148573985078268
0.000494873617063235 0.147050626426578
0.000273099404280819 0.146136675891304
5.78426542786027e-05 0.145616681226971
-0.000524254969628822 0.144554648175058
-0.000928133911835986 0.143685922774041
-0.00128234058997222 0.144020498061762
-0.00131467527614705 0.144519034326317
-0.00119737128895532 0.144253425042232
-0.00135716548092678 0.14417423626258
-0.00112486008190293 0.145379085534359
-0.00109152448958908 0.14639129060273
-0.00118524118211189 0.145651041232994
-0.000888759871439203 0.144843070544722
-0.00122681018561454 0.145182161311294
-0.00173982612574728 0.145927640506415
-0.00164501872431465 0.146039305102834
-0.00145890271337415 0.144964565569167
-0.00153901785253082 0.144344128703057
-0.0016333309733836 0.143911888998042
-0.00131580056203331 0.143727326042076
-0.00106077074879296 0.143958041569082
-0.00098423812766866 0.143508823670342
-0.000772608272308768 0.143479722074927
-0.000738567473906716 0.144480239172379
-0.000759044795901599 0.145407094277543
-0.000780829591425225 0.145025491524161
-0.000649496401599899 0.144766312327671
-0.000205375872435719 0.144870354307413
-0.000117234919691012 0.144449476956693
-0.000326694464922457 0.143155096664997
-0.000414929695932401 0.140878596380609
-0.000524662539261973 0.140655397088297
-0.000703825067063751 0.143044413823518
-0.000947739017803848 0.143862961782887
-0.00120028633027206 0.143046366268438
-0.00126322886693227 0.143505364630305
-0.000951904836446386 0.144277766879816
-0.000751726724785613 0.144965145041833
-0.00106427812909293 0.144429437174863
-0.00113859378741383 0.144480011387236
-0.000579048547686849 0.144496316235644
0.00011823793317269 0.14478601435598
0.000473170771590576 0.144881866089698
0.000378160246488359 0.145626846571699
0.000120202189855319 0.145159408452797
-2.88616323329195e-05 0.144192544570798
-0.000107804436024046 0.144491993368694
-0.000350296032526849 0.145155819302453
